date,decision,reason,spx_entry,vix_entry,expiry,dte,short_strike,long_strike,entry_credit,contracts,estimated_margin,exit_time,exit_price,exit_reason,pnl_per_contract,total_pnl,win_loss,runtime_sec
2016-12-20,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-21,SKIP,VIX below minimum (11.17 < 12),2268.03,11.17,,,,,,0,,,,,,,,0.613
2016-12-22,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-23,SKIP,VIX below minimum (11.67 < 12),2260.43,11.67,,,,,,0,,,,,,,,0.611
2016-12-24,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-25,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-26,SKIP,missing SPX/VIX entry data,,,,,,,,0,,,,,,,,0.607
2016-12-27,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-28,SKIP,no credit-qualified spread candidate,2266.22,12.19,,,,,,0,,,,,,,,9.93
2016-12-29,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2016-12-30,SKIP,no entry quotes for candidates,2246.89,13.82,,,,,,0,,,,,,,,13.931
2016-12-31,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-01,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-02,SKIP,missing SPX/VIX entry data,,,,,,,,0,,,,,,,,0.615
2017-01-03,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-04,SKIP,no credit-qualified spread candidate,2264.81,12.53,,,,,,0,,,,,,,,10.873
2017-01-05,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-06,SKIP,VIX below minimum (11.63 < 12),2266.55,11.63,,,,,,0,,,,,,,,0.615
2017-01-07,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-08,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-09,SKIP,no credit-qualified spread candidate,2269.93,12.03,,,,,,0,,,,,,,,11.293
2017-01-10,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-11,SKIP,VIX below minimum (11.60 < 12),2270.64,11.6,,,,,,0,,,,,,,,0.614
2017-01-12,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-13,SKIP,VIX below minimum (11.19 < 12),2277.83,11.19,,,,,,0,,,,,,,,0.608
2017-01-14,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-15,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-16,SKIP,missing SPX/VIX entry data,,,,,,,,0,,,,,,,,0.611
2017-01-17,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-18,SKIP,no credit-qualified spread candidate,2267.64,12.51,,,,,,0,,,,,,,,12.713
2017-01-19,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-20,SKIP,no option definitions for day,2274.37,12.54,,,,,,0,,,,,,,,9.108
2017-01-21,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-22,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-23,SKIP,VIX below minimum (11.66 < 12),2270.12,11.66,,,,,,0,,,,,,,,0.615
2017-01-24,SKIP,day-of-week filter,,,,,,,,0,,,,,,,,0.0
2017-01-25,SKIP,VIX below minimum (10.80 < 12),2290.57,10.8,,,,,,0,,,,,,,,0.608
